Results of CPU teset
numThreads real user sys
1  9.89  9.88  0.01
2  5.02  9.96  0.01
4  5.16  9.98  0.01
8  5.05  10.00  0.01
16  5.05  9.99  0.01
32  5.06  10.01  0.01
64  5.05  10.00  0.02
128  5.07  10.02  0.01
256  5.05  10.00  0.02

Results of IO tests
numThreads real user sys
1  55.20  0.00  0.00
2  36.76  0.00  0.00
4  19.64  0.00  0.00
8  12.53  0.00  0.00
16  9.28  0.00  0.00
32  5.30  0.00  0.00
64  3.01  0.00  0.00
128  2.99  0.00  0.00
256  2.98  0.00  0.01
Results of CPU teset
numThreads real user sys
1  9.90  9.87  0.01
2  5.02  9.96  0.01
4  5.03  9.97  0.01
8  5.08  9.97  0.01
16  5.05  9.99  0.01
32  5.08  10.01  0.01
64  5.06  10.02  0.01
128  5.07  10.01  0.01
256  5.06  10.02  0.01

Results of IO tests
numThreads real user sys
1  54.32  0.00  0.00
2  37.22  0.00  0.00
4  19.50  0.00  0.00
8  12.42  0.00  0.00
16  9.34  0.00  0.00
32  5.30  0.00  0.00
64  3.01  0.00  0.00
128  2.99  0.00  0.00
256  2.98  0.00  0.01
